USAF,WBAN,YRMODAHRMN,YR,MO,DA,HRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,WW,WW,WW,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
654720,99999,200804151200,2008,4,15,1200,200,14,***,246,BKN,2,0,6,9.4,**,**,**,*,90,74,1009.8,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200804151100,2008,4,15,1100,210,17,***,722,***,*,*,*,7,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804150900,2008,4,15,900,210,14,***,722,***,*,*,*,****,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804150600,2008,4,15,600,270,6,***,246,BKN,*,*,*,7,**,**,**,*,79,75,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200804141900,2008,4,14,1900,220,11,***,246,BKN,*,*,*,7,**,**,**,*,86,77,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200804141800,2008,4,14,1800,210,14,***,246,BKN,9,3,6,10,**,**,**,*,86,76,1007,*****,******,90,***,*****,*****,*****,*****,**
654720,99999,200804141700,2008,4,14,1700,210,16,***,722,***,*,*,*,7,**,**,**,*,86,75,******,29.71,******,***,***,*****,*****,*****,*****,**
654720,99999,200804141600,2008,4,14,1600,200,15,***,722,SCT,*,*,*,7,**,**,**,*,88,73,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804141300,2008,4,14,1300,190,17,***,722,***,*,*,*,7,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804141200,2008,4,14,1200,200,11,***,722,***,*,*,*,7,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804141000,2008,4,14,1000,220,11,***,15,BKN,*,*,*,7,**,**,**,*,88,77,******,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200804132200,2008,4,13,2200,210,11,***,722,SCT,*,*,*,7,**,**,**,*,84,77,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200804132000,2008,4,13,2000,210,11,***,722,SCT,*,*,*,7,**,**,**,*,84,77,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200804131900,2008,4,13,1900,200,11,***,246,BKN,*,*,*,7,**,**,**,*,86,77,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804131800,2008,4,13,1800,200,11,***,246,BKN,*,*,*,7,**,**,**,*,86,77,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804131700,2008,4,13,1700,210,13,***,246,BKN,*,*,*,7,**,**,**,*,86,75,******,29.71,******,***,***,*****,*****,*****,*****,**
654720,99999,200804131500,2008,4,13,1500,200,14,***,246,BKN,*,*,*,7,**,**,**,*,90,77,******,29.71,******,***,***,*****,*****,*****,*****,**
654720,99999,200804131400,2008,4,13,1400,***,***,***,722,***,*,*,*,****,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804130900,2008,4,13,900,260,5,***,246,BKN,2,0,6,7.5,**,**,**,*,86,78,1009.7,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200804130730,2008,4,13,730,280,6,***,246,BKN,*,*,*,7,**,**,**,*,81,77,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200804130700,2008,4,13,700,280,3,***,246,BKN,*,*,*,7,**,**,**,*,81,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804130600,2008,4,13,600,280,2,***,246,BKN,*,*,*,5.7,**,**,**,*,81,77,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804130400,2008,4,13,400,280,3,***,722,***,*,*,*,****,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804130200,2008,4,13,200,220,6,***,246,BKN,*,*,*,7,**,**,**,*,82,77,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804130000,2008,4,13,0,180,6,***,246,BKN,0,0,6,11.2,**,**,**,*,83,76,1009.2,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804122300,2008,4,12,2300,***,***,***,722,***,*,*,*,6.2,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804121800,2008,4,12,1800,180,18,***,108,BKN,*,*,*,7,**,**,**,*,86,77,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804121300,2008,4,12,1300,180,17,***,722,***,*,*,*,****,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804121200,2008,4,12,1200,200,16,***,246,BKN,*,*,*,7,**,**,**,*,90,75,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200804120900,2008,4,12,900,220,11,***,108,BKN,1,3,6,7.5,**,**,**,*,85,75,1009.8,29.83,******,***,81,*****,*****,*****,*****,**
654720,99999,200804120800,2008,4,12,800,270,6,***,722,***,*,*,*,6.2,**,**,**,*,82,75,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200804120600,2008,4,12,600,290,7,***,722,***,*,*,*,6.2,**,**,**,*,79,75,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200804120500,2008,4,12,500,***,0,***,722,***,*,*,*,6.2,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804120400,2008,4,12,400,290,5,***,722,***,*,*,*,6.2,**,**,**,*,79,73,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804111900,2008,4,11,1900,210,11,***,246,BKN,*,*,*,7,**,**,**,*,84,75,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200804111800,2008,4,11,1800,***,***,***,722,***,*,*,*,****,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804111600,2008,4,11,1600,210,14,***,17,BKN,*,*,*,7,**,**,**,*,88,75,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804111500,2008,4,11,1500,190,17,***,17,BKN,*,*,*,7,**,**,**,*,88,77,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804111300,2008,4,11,1300,200,15,***,246,BKN,*,*,*,7,**,**,**,*,90,73,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200804111100,2008,4,11,1100,210,11,***,246,BKN,*,*,*,7,**,**,**,*,90,75,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200804111000,2008,4,11,1000,270,14,***,722,***,*,*,*,7,**,**,**,*,88,75,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200804110900,2008,4,11,900,240,7,***,722,BKN,9,3,2,9.4,**,**,**,*,84,75,1010.4,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804110830,2008,4,11,830,310,6,***,722,***,*,*,*,****,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804110700,2008,4,11,700,***,***,***,722,***,*,*,*,7,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804110100,2008,4,11,100,270,3,***,10,BKN,*,*,*,7,**,**,**,*,82,77,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804102200,2008,4,10,2200,230,11,***,10,BKN,*,*,*,7,**,**,**,*,84,77,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200804101500,2008,4,10,1500,90,17,***,722,***,*,*,*,7,17,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804101300,2008,4,10,1300,210,15,***,722,SCT,*,*,*,7,**,**,**,*,91,75,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200804101200,2008,4,10,1200,210,17,***,345,BKN,2,0,2,9.4,**,**,**,*,91,73,1009.3,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804100800,2008,4,10,800,270,7,***,246,BKN,*,*,*,7,**,**,**,*,82,77,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200804100600,2008,4,10,600,270,6,***,722,***,*,*,*,****,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804100200,2008,4,10,200,240,10,***,10,BKN,*,*,*,7,**,**,**,*,82,77,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200804100000,2008,4,10,0,220,11,***,722,SCT,*,*,*,7,**,**,**,*,84,77,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200804092200,2008,4,9,2200,230,9,***,722,SCT,*,*,*,7,**,**,**,*,84,77,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200804092000,2008,4,9,2000,***,***,***,722,***,*,*,*,1.3,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804091900,2008,4,9,1900,***,***,***,722,***,*,*,*,7,**,**,**,*,68,54,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804091200,2008,4,9,1200,220,10,***,98,BKN,2,3,2,7.5,**,**,**,*,90,75,1010.7,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804081800,2008,4,8,1800,200,11,***,722,BKN,9,0,6,12.5,**,**,**,*,85,76,1009.7,29.83,******,90,***,*****,*****,*****,*****,**
654720,99999,200804081700,2008,4,8,1700,190,14,***,246,BKN,*,*,*,7,**,**,**,*,88,75,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200804080900,2008,4,8,900,220,8,***,14,BKN,*,*,*,7,**,**,**,*,84,77,******,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200804080600,2008,4,8,600,280,3,***,98,BKN,*,*,*,7,**,**,**,*,79,75,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200804080400,2008,4,8,400,280,2,***,722,SCT,*,*,*,7,**,**,**,*,79,75,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200804080300,2008,4,8,300,280,3,***,722,SCT,*,*,*,7,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804080100,2008,4,8,100,290,3,***,722,SCT,*,*,*,7,**,**,**,*,81,77,******,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200804071700,2008,4,7,1700,***,***,***,722,***,*,*,*,7,**,**,**,*,86,75,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804071600,2008,4,7,1600,***,***,***,722,***,*,*,*,7,**,**,**,*,88,75,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804071500,2008,4,7,1500,180,16,***,722,***,*,*,*,7,**,**,**,*,90,73,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200804070700,2008,4,7,700,***,0,***,98,BKN,*,*,*,7,**,**,**,*,81,75,******,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200804070500,2008,4,7,500,***,0,***,***,BKN,*,*,*,7,**,**,**,*,79,77,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804070100,2008,4,7,100,***,0,***,722,***,*,*,*,6.2,**,**,**,*,81,75,******,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200804070000,2008,4,7,0,***,0,***,722,***,*,*,*,6.2,**,**,**,*,81,75,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200804062200,2008,4,6,2200,***,0,***,98,BKN,*,*,*,7,**,**,**,*,81,75,******,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200804061800,2008,4,6,1800,180,10,***,98,BKN,*,*,*,7,**,**,**,*,84,75,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200804061700,2008,4,6,1700,170,10,***,108,BKN,*,*,*,7,**,**,**,*,86,73,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200804061600,2008,4,6,1600,320,7,***,722,***,*,*,*,7,**,**,**,*,82,72,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200804061330,2008,4,6,1330,210,14,***,722,***,*,*,*,7,**,**,**,*,90,68,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200804061300,2008,4,6,1300,190,15,***,98,BKN,*,*,*,7,**,**,**,*,90,77,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200804061200,2008,4,6,1200,290,11,***,722,***,*,*,*,7,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804061100,2008,4,6,1100,290,11,***,98,BKN,*,*,*,7,**,**,**,*,88,75,******,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200804061030,2008,4,6,1030,300,14,***,722,***,*,*,*,6.2,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804061000,2008,4,6,1000,310,11,***,98,BKN,*,*,*,7,**,**,**,*,84,75,******,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200804060900,2008,4,6,900,270,5,***,98,BKN,0,3,0,1.6,**,**,**,*,81,75,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804060800,2008,4,6,800,***,***,***,722,***,*,*,*,****,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804052100,2008,4,5,2100,280,3,***,98,BKN,*,*,*,7,**,**,**,*,77,75,******,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200804051900,2008,4,5,1900,210,11,***,98,BKN,*,*,*,7,**,**,**,*,79,75,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200804051200,2008,4,5,1200,240,10,***,98,BKN,*,*,*,7,**,**,**,*,90,77,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200804050500,2008,4,5,500,270,6,***,722,***,*,*,*,6.2,**,**,**,*,79,72,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804042300,2008,4,4,2300,290,3,***,246,BKN,*,*,*,7,**,**,**,*,79,72,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200804042100,2008,4,4,2100,270,3,***,246,BKN,0,0,2,9.4,**,**,**,*,81,71,1009.6,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804042000,2008,4,4,2000,***,***,***,722,***,*,*,*,6.2,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804041800,2008,4,4,1800,280,8,***,722,***,*,*,*,7,**,**,**,*,84,70,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804041600,2008,4,4,1600,220,11,***,722,***,*,*,*,7,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804041400,2008,4,4,1400,220,14,***,98,BKN,*,*,*,7,**,**,**,*,90,75,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804041000,2008,4,4,1000,260,11,***,722,SCT,*,*,*,7,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804040800,2008,4,4,800,***,***,***,722,***,*,*,*,6.2,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804040400,2008,4,4,400,270,3,***,***,BKN,*,*,*,7,17,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804032100,2008,4,3,2100,300,2,***,98,BKN,*,*,*,7,**,**,**,*,82,77,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200804031500,2008,4,3,1500,180,11,***,14,BKN,*,*,*,7,**,**,**,*,84,75,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804031200,2008,4,3,1200,190,11,***,98,BKN,*,*,*,7,**,**,**,*,86,75,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200804031000,2008,4,3,1000,180,14,***,98,BKN,*,*,*,7,**,**,**,*,84,72,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200804030800,2008,4,3,800,270,6,***,98,BKN,*,*,*,7,**,**,**,*,79,73,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200804030600,2008,4,3,600,290,1,***,98,BKN,*,*,*,3.8,**,**,**,*,77,73,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200804030500,2008,4,3,500,290,1,***,98,BKN,*,*,*,7,**,**,**,*,77,73,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200804030400,2008,4,3,400,280,2,***,98,BKN,*,*,*,7,**,**,**,*,77,73,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200804030200,2008,4,3,200,***,***,***,722,***,*,*,*,6.2,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804030000,2008,4,3,0,190,8,***,98,BKN,*,*,*,5,61,**,**,*,79,36,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804022300,2008,4,2,2300,190,6,***,246,BKN,*,*,*,5,61,**,**,*,81,75,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200804022200,2008,4,2,2200,100,1,***,98,BKN,*,*,*,5,61,**,**,*,79,75,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200804022130,2008,4,2,2130,170,6,***,722,SCT,*,*,*,5,61,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804022100,2008,4,2,2100,130,2,***,98,BKN,*,*,*,5,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804021700,2008,4,2,1700,150,14,***,98,BKN,*,*,*,7,17,**,**,*,84,75,******,29.71,******,***,***,*****,*****,*****,*****,**
654720,99999,200804021500,2008,4,2,1500,200,18,***,722,***,*,*,*,7,17,**,**,*,90,75,******,29.71,******,***,***,*****,*****,*****,*****,**
654720,99999,200804021400,2008,4,2,1400,210,11,***,98,BKN,*,*,*,7,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804021300,2008,4,2,1300,190,18,***,722,***,*,*,*,7,**,**,**,*,91,75,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804021200,2008,4,2,1200,240,14,***,98,BKN,*,*,*,7,**,**,**,*,90,68,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804021100,2008,4,2,1100,240,11,***,98,BKN,*,*,*,7,**,**,**,*,90,75,******,29.53,******,***,***,*****,*****,*****,*****,**
654720,99999,200804020800,2008,4,2,800,280,11,***,722,***,*,*,*,6.2,**,**,**,*,82,75,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804020700,2008,4,2,700,280,9,***,722,***,*,*,*,6.2,**,**,**,*,79,75,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804020400,2008,4,2,400,270,6,***,722,***,*,*,*,6.2,**,**,**,*,79,75,******,29.71,******,***,***,*****,*****,*****,*****,**
654720,99999,200804020100,2008,4,2,100,270,2,***,722,***,*,*,*,6.2,**,**,**,*,79,75,******,29.71,******,***,***,*****,*****,*****,*****,**
654720,99999,200804012100,2008,4,1,2100,280,2,***,722,SCT,0,0,2,11.2,**,**,**,*,83,77,1007.6,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804012000,2008,4,1,2000,240,7,***,722,***,*,*,*,6.2,**,**,**,*,84,77,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804011900,2008,4,1,1900,230,9,***,246,BKN,*,*,*,7,**,**,**,*,84,77,******,29.71,******,***,***,*****,*****,*****,*****,**
654720,99999,200804011800,2008,4,1,1800,220,11,***,246,BKN,*,*,*,7,**,**,**,*,86,75,******,29.68,******,***,***,*****,*****,*****,*****,**
654720,99999,200804011700,2008,4,1,1700,200,11,***,722,***,*,*,*,7,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804011600,2008,4,1,1600,210,15,***,246,BKN,*,*,*,7,**,**,**,*,86,75,******,29.68,******,***,***,*****,*****,*****,*****,**
654720,99999,200804011300,2008,4,1,1300,200,15,***,16,BKN,*,*,*,7,**,**,**,*,90,75,******,29.71,******,***,***,*****,*****,*****,*****,**
654720,99999,200804011120,2008,4,1,1120,***,***,***,722,***,*,*,*,7,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804011100,2008,4,1,1100,240,15,***,246,BKN,*,*,*,7,**,**,**,*,90,77,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804011030,2008,4,1,1030,210,14,***,15,BKN,*,*,*,7,**,**,**,*,88,75,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804011000,2008,4,1,1000,210,11,***,15,BKN,*,*,*,7,**,**,**,*,88,75,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200804010900,2008,4,1,900,230,13,***,722,SCT,*,*,*,1.2,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804010800,2008,4,1,800,***,***,***,722,***,*,*,*,7,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200804010300,2008,4,1,300,***,***,***,722,***,*,*,*,6.2,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200803312300,2008,3,31,2300,300,6,***,722,***,*,*,*,6.2,**,**,**,*,79,73,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200803312200,2008,3,31,2200,***,0,***,722,SCT,*,*,*,7,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200803312000,2008,3,31,2000,60,9,***,98,BKN,*,*,*,7,**,**,**,*,81,77,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200803311700,2008,3,31,1700,***,0,***,14,BKN,*,*,*,7,**,**,**,*,81,77,******,29.68,******,***,***,*****,*****,*****,*****,**
654720,99999,200803311300,2008,3,31,1300,300,6,***,14,BKN,*,*,*,7,**,**,**,*,73,72,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200803311200,2008,3,31,1200,360,7,***,722,SCT,*,*,*,7,17,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200803291500,2008,3,29,1500,210,15,***,***,BKN,*,*,*,9.4,**,**,**,*,91,76,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200803291400,2008,3,29,1400,210,17,***,722,***,*,*,*,7,**,**,**,*,91,73,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200803291200,2008,3,29,1200,220,15,***,722,BKN,2,0,6,9.4,**,**,**,*,91,73,1009.5,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200803290230,2008,3,29,230,270,8,***,10,BKN,*,*,*,7,**,**,**,*,82,77,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200803290200,2008,3,29,200,270,7,***,10,BKN,*,*,*,7,**,**,**,*,82,77,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200803290100,2008,3,29,100,240,11,***,10,BKN,*,*,*,7,**,**,**,*,82,77,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200803282130,2008,3,28,2130,190,14,***,722,***,*,*,*,7,**,**,**,*,84,77,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200803281800,2008,3,28,1800,210,18,***,722,***,*,*,*,7,**,**,**,*,86,77,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200803281500,2008,3,28,1500,210,16,***,722,***,*,*,*,7,**,**,**,*,90,75,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200803262300,2008,3,26,2300,250,11,***,10,BKN,*,*,*,7,**,**,**,*,84,77,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200803262100,2008,3,26,2100,***,***,***,722,***,*,*,*,****,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200803261900,2008,3,26,1900,240,11,***,722,***,*,*,*,7,**,**,**,*,86,77,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200803261800,2008,3,26,1800,220,11,***,246,BKN,*,*,*,7,**,**,**,*,86,77,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200803261700,2008,3,26,1700,180,24,***,15,BKN,*,*,*,7,**,**,**,*,86,79,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200803261600,2008,3,26,1600,190,18,***,15,BKN,*,*,*,7,**,**,**,*,90,77,******,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200803261500,2008,3,26,1500,210,17,***,246,***,9,3,6,9.4,**,**,**,*,91,76,1006.8,29.74,******,***,***,*****,*****,*****,*****,**
654720,99999,200803261300,2008,3,26,1300,200,23,***,722,SCT,*,*,*,7,**,**,**,*,91,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200803261000,2008,3,26,1000,240,14,***,722,SCT,*,*,*,7,**,**,**,*,90,75,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200803260900,2008,3,26,900,260,15,***,722,SCT,*,*,*,7,**,**,**,*,86,77,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200803260800,2008,3,26,800,240,11,***,722,SCT,*,*,*,7,**,**,**,*,82,75,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200803260200,2008,3,26,200,290,2,***,722,SCT,*,*,*,7,**,**,**,*,36,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200803252000,2008,3,25,2000,240,9,***,722,***,*,*,*,6.2,**,**,**,*,84,72,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200803251900,2008,3,25,1900,240,6,***,246,BKN,*,*,*,7,**,**,**,*,86,70,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200803251500,2008,3,25,1500,180,18,***,***,BKN,*,*,*,11.2,**,**,**,*,90,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200803250600,2008,3,25,600,280,3,***,98,BKN,5,4,6,7.5,**,**,**,*,79,75,1009.5,29.8,******,***,79,*****,*****,*****,*****,**
654720,99999,200803250500,2008,3,25,500,270,6,***,246,BKN,*,*,*,7,**,**,**,*,79,75,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200803250400,2008,3,25,400,280,3,***,10,BKN,*,*,*,7,**,**,**,*,79,75,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200803250300,2008,3,25,300,***,***,***,722,***,*,*,*,7,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200803250200,2008,3,25,200,270,3,***,722,***,*,*,*,6.2,**,**,**,*,81,75,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200803242100,2008,3,24,2100,240,11,***,722,***,*,*,*,6.2,**,**,**,*,82,75,******,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200803242000,2008,3,24,2000,190,11,***,722,***,*,*,*,6.2,**,**,**,*,82,75,******,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200803241900,2008,3,24,1900,190,9,***,722,***,*,*,*,6.2,**,**,**,*,84,72,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200803241800,2008,3,24,1800,230,11,***,722,***,*,*,*,6.2,**,**,**,*,84,73,******,29.8,******,***,***,*****,*****,*****,*****,**
654720,99999,200803241500,2008,3,24,1500,190,11,***,722,***,*,*,*,7,**,**,**,*,82,72,******,29.77,******,***,***,*****,*****,*****,*****,**
654720,99999,200803241300,2008,3,24,1300,190,14,***,98,BKN,*,*,*,7,**,**,**,*,90,73,******,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200803241200,2008,3,24,1200,230,11,***,246,BKN,*,*,*,7,**,**,**,*,91,73,******,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200803241100,2008,3,24,1100,250,11,***,246,BKN,*,*,*,7,**,**,**,*,91,73,******,29.88,******,***,***,*****,*****,*****,*****,**
